name_1,name_2,name_3,degree_1,degree_2,degree_3,error
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_circumcenter__orthocenter,1,1,1,0.0
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.3520742565306136e-14
dist_centroid__incenter,perimeter,semiperimeter,1,1,1,1.9587945487842262e-08
dist_centroid__circumcenter,dist_circumcenter__incenter,dist_circumcenter__orthocenter,1,1,1,2.961142513413506e-07
area,perimeter,semiperimeter,2,1,1,4.489717468914023e-07
inradius,perimeter,semiperimeter,1,1,1,4.828353894481552e-07
dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,perimeter,1,1,1,6.512137247227656e-07
dist_steiner_focus_1__steiner_focus_2,perimeter,semiperimeter,1,1,1,7.950541771606368e-07
dist_centroid__orthocenter,dist_circumcenter__orthocenter,dist_incenter__orthocenter,1,1,1,8.332029324265022e-07
dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,semiperimeter,1,1,1,1.0143033932763501e-06
dist_centroid__incenter,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,1.236980324392789e-06
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_circumcenter__incenter,1,1,1,1.3851062021785765e-06
dist_incenter__steiner_focus_1,perimeter,semiperimeter,1,1,1,1.882984633994056e-06
dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,perimeter,1,1,1,2.0521531496342504e-06
dist_centroid__incenter,dist_centroid__orthocenter,dist_circumcenter__orthocenter,1,1,1,2.498650246707257e-06
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_incenter__orthocenter,1,1,1,2.5683496005513007e-06
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,semiperimeter,1,1,1,2.6955121938954107e-06
dist_centroid__orthocenter,dist_circumcenter__incenter,dist_circumcenter__orthocenter,1,1,1,3.6492442632152233e-06
circumradius,dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,1,1,1,4.010288648714777e-06
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_incenter__orthocenter,1,1,1,4.287157025828492e-06
dist_centroid__incenter,dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,1,1,1,5.007407708035316e-06
dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,5.517785666597774e-06
dist_centroid__circumcenter,dist_centroid__incenter,dist_centroid__orthocenter,1,1,1,5.521912498807069e-06
dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,5.898215476918267e-06
dist_centroid__orthocenter,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_2,1,1,1,5.973825864202809e-06
dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,6.1822493080399e-06
dist_centroid__circumcenter,dist_centroid__incenter,dist_circumcenter__orthocenter,1,1,1,6.34468233329244e-06
dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,semiperimeter,1,1,1,6.854033472336596e-06
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_2,1,1,1,7.410607395286206e-06
